,rank,name,code,nowPrice,totalPrice,volume
112,113,동서,026960,"16,700","16,650","136,985"
113,114,BNK금융지주,138930,"5,080","16,558","3,748,832"
114,115,메리츠화재,000060,"14,550","16,540","87,439"
115,116,녹십자,006280,"141,500","16,536","90,133"
116,117,대우건설,047040,"3,830","15,918","2,491,999"
117,118,KG동부제철,016380,"15,700","15,701","1,154,268"
118,119,F&F,007700,"99,500","15,323","54,646"
119,120,한화,000880,"20,100","15,067","511,330"
120,121,LG생활건강우,051905,"715,000","15,013","4,893"
121,122,현대백화점,069960,"64,000","14,978","346,641"
122,123,HMM,011200,"4,725","14,957","5,208,264"
123,124,파미셀,005690,"24,100","14,450","37,643,687"
124,125,효성,004800,"67,300","14,181","79,134"
125,126,메리츠금융지주,138040,"10,050","14,093","116,106"
126,127,한올바이오파마,009420,"26,850","14,027","693,158"
127,128,신세계인터내셔날,031430,"195,000","13,923","38,725"
128,129,한전KPS,051600,"30,850","13,882","157,390"
129,130,현대차우,005385,"56,300","13,713","246,878"
130,131,LS ELECTRIC,010120,"45,550","13,665","114,331"
131,132,LG화학우,051915,"177,000","13,609","41,969"
132,133,영원무역,111770,"30,650","13,581","266,649"
133,134,현대미포조선,010620,"34,000","13,580","466,372"
134,135,KODEX WTI원유선물(H),261220,"5,380","13,478","14,843,170"
135,136,현대로템,064350,"15,750","13,388","625,465"
136,137,KODEX 종합채권(AA-이상)액티브,273130,"110,545","13,355","102,029"
137,138,한화생명,088350,"1,525","13,245","39,650,309"
138,139,HDC현대산업개발,294870,"19,950","13,149","5,232,295"
139,140,KBSTAR 200,148020,"26,915","13,054","735,515"
140,141,SK네트웍스,001740,"5,190","12,881","797,044"
141,142,KCC,002380,"143,500","12,752","467,315"
142,143,DB하이텍,000990,"28,600","12,698","1,441,917"
143,144,두산솔루스,336370,"41,350","12,649","1,002,846"
144,145,만도,204320,"26,650","12,514","400,311"
145,146,한화에어로스페이스,012450,"24,300","12,303","445,833"
146,147,더블유게임즈,192080,"67,000","12,238","256,281"
147,148,지누스,013890,"84,000","12,102","273,819"
148,149,LS,006260,"37,400","12,043","150,841"
149,150,대웅제약,069620,"102,500","11,876","199,913"
150,151,태영건설,009410,"15,500","11,842","1,021,701"
151,152,신풍제약,019170,"21,700","11,498","8,421,940"
152,153,한솔케미칼,014680,"97,500","11,013","60,124"
153,154,두산중공업,034020,"4,280","10,834","2,575,715"
154,155,두산인프라코어,042670,"5,200","10,824","2,257,968"
155,156,KODEX 인버스,114800,"6,510","10,807","37,643,861"
156,157,SK케미칼,285130,"91,900","10,790","209,844"
157,158,KODEX 코스닥150 레버리지,233740,"8,985","10,683","31,130,103"
158,159,이노션,214320,"51,700","10,340","94,886"
159,160,종근당,185750,"94,400","10,276","34,858"
160,161,KODEX 200TR,278530,"8,610","10,242","514,345"
161,162,현대위아,011210,"37,400","10,171","326,510"
162,163,롯데리츠,330590,"5,900","10,146","2,215,761"
163,164,녹십자홀딩스,005250,"21,400","10,064","153,903"
164,165,KODEX 삼성그룹,102780,"6,800","10,064","241,119"
165,166,대웅,003090,"17,250","10,029","387,275"
166,167,한국콜마,161890,"43,300","9,908","172,555"
167,168,TRUE 코스피 양매도 5% OTM ETN,570019,"9,945","9,836","6,527"
168,169,롯데정밀화학,004000,"37,850","9,765","72,906"
169,170,한화시스템,272210,"8,820","9,722","906,941"
170,171,HANARO 200,293180,"26,910","9,688","61,114"
171,172,영진약품,003520,"5,270","9,638","909,848"
172,173,아이에스동서,010780,"30,800","9,515","86,185"
173,174,롯데관광개발,032350,"13,700","9,491","574,855"
174,175,현대오토에버,307950,"44,900","9,429","20,873"
175,176,OCI,010060,"39,400","9,397","1,825,324"
176,177,한국테크놀로지그룹,000240,"10,100","9,395","91,381"
177,178,영풍,000670,"510,000","9,394","1,499"
178,179,JB금융지주,175330,"4,750","9,357","624,548"
179,180,GKL,114090,"14,900","9,216","271,758"
180,181,일양약품,007570,"48,000","9,161","9,687,955"
181,182,화승엔터프라이즈,241590,"15,000","9,080","700,706"
182,183,쿠쿠홈시스,284740,"40,450","9,076","67,264"
183,184,아시아나항공,020560,"4,045","9,030","2,424,277"
184,185,코오롱인더,120110,"33,200","8,957","232,090"
185,186,삼양식품,003230,"118,500","8,927","72,326"
186,187,DGB금융지주,139130,"5,260","8,897","1,562,115"
187,188,코리안리,003690,"7,390","8,895","471,466"
188,189,코스맥스,192820,"88,400","8,884","85,097"
189,190,오리온홀딩스,001800,"14,050","8,802","321,501"
190,191,대상,001680,"25,100","8,697","237,393"
191,192,금호타이어,073240,"2,945","8,460","872,027"
192,193,대한유화,006650,"130,000","8,450","47,732"
193,194,동원산업,006040,"226,000","8,311","9,844"
194,195,두산퓨얼셀,336260,"14,950","8,296","1,702,428"
195,196,롯데칠성,005300,"103,500","8,273","18,573"
196,197,NICE,034310,"21,800","8,258","72,293"
197,198,태광산업,003240,"740,000","8,239","2,066"
198,199,다우기술,023590,"18,300","8,211","338,196"
199,200,KODEX 단기채권PLUS,214980,"102,525","8,191","11,679"
200,201,현대그린푸드,005440,"8,300","8,109","428,109"
201,202,현대홈쇼핑,057050,"67,000","8,040","34,568"
202,203,LIG넥스원,079550,"35,850","7,887","203,875"
203,204,롯데제과,280360,"121,000","7,764","9,010"
204,205,동원F&B,049770,"196,000","7,564","8,563"
205,206,한섬,020000,"30,250","7,451","160,117"
206,207,후성,093370,"7,990","7,399","1,672,125"
207,208,동아에스티,170900,"86,800","7,329","22,374"
208,209,JW중외제약,001060,"34,650","7,249","5,496,192"
209,210,씨에스윈드,112610,"41,800","7,225","130,112"
210,211,아주캐피탈,033660,"12,300","7,078","13,536"
211,212,SK가스,018670,"76,200","7,033","22,372"
212,213,남선알미늄,008350,"6,340","6,985","19,680,685"
213,214,휴켐스,069260,"16,900","6,908","121,636"
214,215,TIGER TOP10,292150,"8,580","6,864","288,752"
215,216,에스엘,005850,"13,800","6,652",0
216,217,락앤락,115390,"12,200","6,611","432,636"
217,218,대한전선,001440,771,"6,603","1,413,361"
218,219,애경산업,018250,"25,000","6,602","117,413"
219,220,KODEX MSCI Korea TR,278540,"8,585","6,602","5,959"
220,221,보령제약,003850,"14,750","6,520","558,013"
221,222,롯데하이마트,071840,"27,500","6,492","113,278"
222,223,한진,002320,"53,700","6,430","172,025"
223,224,QV 코스피 변동성 매칭형 양매도 ETN,550057,"9,135","6,394",0
224,225,한전기술,052690,"16,550","6,325","69,600"
225,226,ARIRANG 200,152100,"27,035","6,259","34,415"
226,227,빙그레,005180,"63,100","6,216","74,169"
227,228,두산,000150,"37,600","6,213","143,987"
228,229,서흥,008490,"53,700","6,213","200,277"
229,230,쿠쿠홀딩스,192400,"86,500","6,152","5,622"
230,231,동원시스템즈,014820,"24,000","6,148","20,491"
231,232,LG하우시스,108670,"68,200","6,116","316,400"
232,233,롯데정보통신,286940,"39,600","6,097","101,998"
233,234,아모레퍼시픽우,090435,"57,700","6,092","86,941"
234,235,TIGER MSCI Korea TR,310970,"10,795","6,078","1,365,624"
235,236,LG상사,001120,"15,650","6,066","1,152,305"
236,237,SPC삼립,005610,"70,200","6,058","10,784"
237,238,종근당홀딩스,001630,"119,500","5,987","56,375"
238,239,풀무원,017810,"15,450","5,885","1,156,045"
239,240,S&T모티브,064960,"40,000","5,849","39,469"
240,241,넥센타이어,002350,"5,890","5,753","373,518"
241,242,효성티앤씨,298020,"131,500","5,691","13,008"
242,243,영원무역홀딩스,009970,"41,650","5,679","5,367"
243,244,HDC,012630,"9,500","5,675","364,683"
244,245,하나투어,039130,"40,600","5,659","53,409"
245,246,제일약품,271980,"38,200","5,617","563,352"
246,247,KINDEX 200,105190,"26,885","5,606","902,420"
247,248,삼화콘덴서,001820,"53,700","5,582","134,850"
248,249,풍산,103140,"19,800","5,549","210,674"
249,250,동아쏘시오홀딩스,000640,"89,900","5,518","15,096"
250,251,미래에셋생명,085620,"3,050","5,399","448,083"
251,252,SK디스커버리,006120,"28,350","5,397","169,903"
252,253,한세실업,105630,"13,300","5,320","298,638"
253,254,유안타증권,003470,"2,665","5,319","324,220"
254,255,롯데손해보험,000400,"1,665","5,167","1,041,806"
255,256,KOSEF 200,069660,"26,950","5,134","34,813"
256,257,대신증권,003540,"9,900","5,027","269,030"
257,258,현대에이치씨엔,126560,"4,450","5,023","684,425"
258,259,제주항공,089590,"19,000","5,008","144,360"
259,260,한일현대시멘트,006390,"29,700","4,996","35,481"
260,261,삼양홀딩스,000070,"57,800","4,950","24,296"
261,262,SK디앤디,210980,"25,950","4,928","156,197"
262,263,경동나비엔,009450,"38,600","4,917","43,851"
263,264,CJ CGV,079160,"23,150","4,899","213,304"
264,265,제이콘텐트리,036420,"29,800","4,883","163,057"
265,266,한진중공업,097230,"5,820","4,847","98,819"
266,267,에이프로젠제약,003060,"2,000","4,833","27,637,360"
267,268,삼성 코스피 양매도 5% OTM ETN,530060,"9,525","4,762",0
268,269,한미반도체,042700,"9,230","4,754","297,998"
269,270,에이프로젠 KIC,007460,"3,045","4,749","5,978,590"
270,271,동양생명,082640,"2,935","4,736","301,336"
271,272,이월드,084680,"4,545","4,688","4,356,904"
272,273,한국토지신탁,034830,"1,855","4,684","288,837"
273,274,화승인더,006060,"8,460","4,680","724,835"
274,275,KODEX 코스닥150선물인버스,251340,"6,595","4,676","48,631,352"
275,276,대덕전자,353200,"9,260","4,576","1,178,811"
276,277,KODEX 코스닥 150,229200,"10,885","4,566","5,308,917"
277,278,미래에셋대우2우B,00680K,"3,255","4,557","409,363"
278,279,KODEX 코스피,226490,"20,420","4,533","261,251"
279,280,지역난방공사,071320,"39,150","4,533","5,517"
280,281,덴티움,145720,"40,850","4,522","58,689"
281,282,삼양사,145990,"43,100","4,445","45,773"
282,283,필룩스,033180,"4,910","4,421","1,833,070"
283,284,디피씨,026890,"10,550","4,397","11,918,222"
284,285,BGF,027410,"4,485","4,293","168,536"
285,286,대한해운,005880,"17,300","4,226","94,392"
286,287,신영증권,001720,"44,650","4,191","7,125"
287,288,삼성화재우,000815,"128,500","4,102","6,135"
288,289,롯데푸드,002270,"361,000","4,086","2,712"
289,290,동국제강,001230,"4,265","4,070","597,452"
